X Axis;Y Axis;Z Axis;speed;std speed;flashes;height;flash time;number of flashes;time;direction
0;0;0;7.732.100.079;2.127.411.752;0.836535186;0.893909107;37.5;12;1.940.939.338;V
0;1;0;893.297.619;2.414.391.967;0.997566682;0.981108211;4.178.899.083;327;1.999.695.986;U
0;2;0;14.209.136;2.514.055.993;0.992084814;0.964873731;4.241.145.833;576;2.002.562.567;U
0;3;0;-7.024.316.029;2.348.523.655;0.989346321;0.951449147;4.436.641.221;655;1.995.115.159;U
0;4;0;-1.405.511.477;2.516.917.632;0.987477067;0.930151443;4.610.802.139;935;1.996.782.501;U
0;5;0;-1.921.239.839;2.238.182.331;0.97827973;0.879482075;4.705.644.599;1435;1.997.490.256;V
0;6;0;-2.347.799.242;2.206.917.891;0.976242448;0.84678168;5.003.425.775;1839;2.004.329.159;V
0;7;0;-290.548.308;2.013.085.754;0.975135212;0.833090585;5.311.177.553;2174;1.999.799.126;U
0;8;0;-3.258.518.272;1.848.381.983;0.97692306;0.819662979;5.666.970.091;2307;1.998.273.681;U
0;9;0;-3.588.715.177;1.733.872.012;0.959843658;0.775829605;588.125;2352;1.998.772.272;V
0;10;0;-3.840.850.669;160.462.462;0.95691449;0.75809638;6.102.915.452;2401;2.005.365.945;U
0;11;0;-4.081.552.175;1.442.170.983;0.955123051;0.739945635;6.351.198.721;1877;1.998.581.886;U
0;12;0;-4.226.129.629;1.413.448.349;0.93958583;0.721494561;6.484.063.745;1506;2.005.101.844;U
0;13;0;-4.352.117.287;1.340.815.378;0.934385818;0.702870765;6.551.649.928;1394;2.002.780.276;U
0;14;0;-4.373.616.406;1.218.543.504;0.932020132;0.691282672;6.309.601.302;1229;1.995.691.785;U
0;15;0;-4.465.243.558;1.259.090.705;0.928216158;0.692116169;6.171.398.964;965;199.797.674;V
0;16;0;-4.343.565.635;1.293.818.987;0.930176144;0.700757664;6.056.531.704;1309;2.004.970.059;U
0;17;0;-418.312.697;1.374.849.227;0.936791738;0.706644591;5.933.169.533;1221;200.625.316;U
0;18;0;-4.115.892.586;1.408.521.943;0.932272617;0.707421551;5.598.553.055;1244;1.998.668.542;U
0;19;0;-3.886.263.391;1.491.451.993;0.942761812;0.730672861;5.456.575.682;1209;1.997.074.189;U
0;20;0;-3.553.713.695;1.648.977.834;0.939096963;0.732487612;5.190.026.247;1143;2.003.138.525;U
0;21;0;-3.122.988.248;1.852.031.855;0.954242399;0.776635402;4.929.928.952;1126;1.995.780.075;U
0;22;0;-2.683.681.015;2.018.210.215;0.963265551;0.808208051;4.738.566.553;879;1.998.582.066;U
0;23;0;-1.937.621.434;2.230.670.962;0.969594277;0.831526752;4.552.866.242;785;1.993.666.797;V
0;24;0;-9.874.397.676;2.456.601.153;0.974283079;0.876444137;4.355.052.265;574;1.985.904.357;U
0;25;0;0.466910772;2.458.000.936;0.980875973;0.912118499;4.124.640.657;487;1.995.107.433;U
0;26;0;873.204.537;2.396.856.827;0.98734892;0.929355507;3.991.103.203;281;1.992.941.898;U
0;27;0;206.150.196;2.318.709.413;0.988722555;0.955841495;38.760.181;221;1.953.970.033;U
0;28;0;2.637.180.316;1.937.052.137;0.989663781;0.983603985;4.053.846.154;78;1.953.952.417;U
0;29;0;3.817.465.555;126.181.304;0.836535196;0.835965514;35.5;6;7.098.818.736;U
0;29;0;2.915.696.577;1.775.214.863;0.989107654;0.9831742;4.072.727.273;165;1.984.962.346;U
0;30;0;4.025.717.198;24.158.157;0.821479638;0.851590753;38;3;131.256.768;U
0;31;0;2.228.259.305;NaN;0.356466055;0.359395742;29;1;0;U
0;32;0;-2.855.699.356;NaN;0.179705501;0.320332646;98;1;0;U
0;33;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;U
1;1;0;1.857.218.637;24.358.853;0.718909404;0.709543131;35;11;1.391.404.649;V
1;2;0;9.352.274.863;2.543.729.322;0.995448123;0.987410133;4.065.384.615;130;1.952.304.724;U
1;3;0;1.993.042.014;2.586.791.044;0.996172442;0.965854327;4.130.864.198;243;1.995.329.333;U
